turtle_id,group,SMR,mass_g,egg_SMR,clutch_mass,egg_SMR_hr
ABL,Gravid Female,4.7086,154,0.00025822,16.9,0.01549320
ACI,Gravid Female,3.6838,111,0.00014956,14.3,0.00897360
ABU,Gravid Female,5.1719,146,0.00021759,18,0.01305540
ABT,Gravid Female,5.1034,145,0.00030700,12.4,0.01842000
ACT,Gravid Female,4.7576,124,0.00027806,14,0.01668360
ACO,Gravid Female,5.2810,196,0.00032076,19.8,0.01924560
AHT,Gravid Female,3.8866,139,0.00031264,17,0.01875840
AHM,Gravid Female,2.9357,100,0.00014204,11.1,0.00852240
AHL,Gravid Female,4.4392,149,0.00039541,15.1,0.02372460
AH,Gravid Female,4.6724,126,0.00022732,11,0.01363920
AIN,Gravid Female,4.5085,139,0.00021978,10.5,0.01318680
AKL,Gravid Female,4.4326,124,0.00029777,12.9,0.01786620
AJV,Gravid Female,3.2175,142,0.00008457,8,0.00507420
ABC,Juveniles,1.9327,62,NA,NA,NA
ABK,Juveniles,2.8334,52,NA,NA,NA
ALU,Juveniles,1.1865,46,NA,NA,NA
ALT,Juveniles,1.1068,33,NA,NA,NA
ATV,Juveniles,1.9377,44,NA,NA,NA
ABH,Male,2.0481,76,NA,NA,NA
ABJ,Male,1.0199,66,NA,NA,NA
ABN,Male,6.3981,168,NA,NA,NA
ABO,Male,5.0334,158,NA,NA,NA
ACH,Male,4.0518,134,NA,NA,NA
ACK,Male,4.0528,137,NA,NA,NA
ACJ,Male,4.4768,115,NA,NA,NA
ABV,Male,4.0170,88,NA,NA,NA
AIK,Male,2.6910,67,NA,NA,NA
AIM,Male,2.6148,72,NA,NA,NA
AIV,Male,3.6663,147,NA,NA,NA
AJL,Male,2.7203,93,NA,NA,NA
AJK,Male,4.4487,156,NA,NA,NA
AJM,Male,3.4194,162,NA,NA,NA
AHJ,Male,2.3409,99,NA,NA,NA
AMN,Male,1.9238,93,NA,NA,NA
AMV,Male,1.9252,81,NA,NA,NA
ALV,Male,3.2175,142,NA,NA,NA
ABM,Non-Gravid Female,3.0174,73,NA,NA,NA
ACL,Non-Gravid Female,2.9114,75,NA,NA,NA
ACN,Non-Gravid Female,3.8259,109,NA,NA,NA
AHN,Non-Gravid Female,3.6166,100,NA,NA,NA
AIT,Non-Gravid Female,2.0000,141,NA,NA,NA
AIO,Non-Gravid Female,2.0356,108,NA,NA,NA
AIU,Non-Gravid Female,4.9003,143,NA,NA,NA
AKV,Non-Gravid Female,2.7822,123,NA,NA,NA
AKU,Non-Gravid Female,3.1549,101,NA,NA,NA
AKT,Non-Gravid Female,2.8121,107,NA,NA,NA
ALM,Non-Gravid Female,2.6659,95,NA,NA,NA
ALO,Non-Gravid Female,3.1747,80,NA,NA,NA
A,Non-Gravid Female,2.6773,143,NA,NA,NA
ALU,Non-Gravid Female,2.7106,104,NA,NA,NA
ATU,Non-Gravid Female,2.4911,153,NA,NA,NA
BCK,Non-Gravid Female,2.6830,172,NA,NA,NA
ACV,Non-Gravid Female,4.1956,160,NA,NA,NA
ALN,Non-Gravid Female,3.1747,142,NA,NA,NA
